id,dimensions_small,dimensions_large,steps,steps_to_keep,rule,bundle_size,n_trails,experiment_desc,neg_mean,neg_std,pos_mean,pos_std,timestamp
69,128,512,3,4,70,5,1000,concatenating previous CA expansion,0.5165511404679648,0.0340403064222949,0.694641015625,0.0331552044794769,2023-10-11 12:13:22.408541
70,128,512,3,4,71,5,1000,concatenating previous CA expansion,0.4999995092650753,0.0382771230942881,0.68716328125,0.0358903540868503,2023-10-11 12:13:57.159830
71,128,512,3,4,72,5,1000,concatenating previous CA expansion,0.7288240146042714,0.030204503123409,0.80424765625,0.0284697622517452,2023-10-11 12:14:32.075016
72,128,512,3,4,73,5,1000,concatenating previous CA expansion,0.5181023496388191,0.0273468942398746,0.695025390625,0.0260692506824849,2023-10-11 12:15:07.302028
73,128,512,3,4,74,5,1000,concatenating previous CA expansion,0.5618969240734925,0.0281781032609958,0.713251953125,0.0262009207265264,2023-10-11 12:15:42.290710
74,128,512,3,4,75,5,1000,concatenating previous CA expansion,0.5001010953203517,0.0252455084448225,0.68800859375,0.023640800548237,2023-10-11 12:16:17.556292
75,128,512,3,4,76,5,1000,concatenating previous CA expansion,0.5425829989792713,0.0394065207051365,0.704958984375,0.0378718179303987,2023-10-11 12:16:52.812778
76,128,512,3,4,77,5,1000,concatenating previous CA expansion,0.5000890507223618,0.0476936006276676,0.6867796875,0.0454214907964487,2023-10-11 12:17:27.792035
77,128,512,3,4,78,5,1000,concatenating previous CA expansion,0.5071842199277639,0.0372063608178116,0.689962109375,0.036169928553107,2023-10-11 12:18:04.073756
78,128,512,3,4,79,5,1000,concatenating previous CA expansion,0.5209119621545226,0.0424473833910279,0.69633828125,0.040855685413901,2023-10-11 12:18:39.392675
79,128,512,3,4,80,5,1000,concatenating previous CA expansion,0.6491441151067839,0.029348247245063,0.75568671875,0.0291141034115092,2023-10-11 12:19:14.858285
80,128,512,3,4,81,5,1000,concatenating previous CA expansion,0.520855696451005,0.0386490791020923,0.69559921875,0.0366515368130292,2023-10-11 12:19:50.642618
81,128,512,3,4,82,5,1000,concatenating previous CA expansion,0.5327864674937186,0.0261084109535253,0.701246875,0.0246620626960881,2023-10-11 12:20:26.721774
82,128,512,3,4,83,5,1000,concatenating previous CA expansion,0.5031563520728644,0.0368800463858298,0.68866171875,0.0348387909079622,2023-10-11 12:21:02.861958
83,128,512,3,4,84,5,1000,concatenating previous CA expansion,0.5273136600973618,0.0353165218887444,0.698579296875,0.0349402767839916,2023-10-11 12:21:38.952982
84,128,512,3,4,85,5,1000,concatenating previous CA expansion,0.4998556689698492,0.044202298756402,0.686928125,0.0412475154318035,2023-10-11 12:22:14.919390
85,128,512,3,4,86,5,1000,concatenating previous CA expansion,0.4998633185458542,0.025639897266535,0.687345703125,0.0242479000952061,2023-10-11 12:22:51.184453
86,128,512,3,4,87,5,1000,concatenating previous CA expansion,0.528684706736809,0.0432358746778721,0.699360546875,0.04090042085501,2023-10-11 12:23:28.452019
87,128,512,3,4,88,5,1000,concatenating previous CA expansion,0.5612574081344222,0.0282807077737416,0.71325390625,0.026242253495656,2023-10-11 12:24:04.610668
88,128,512,3,4,89,5,1000,concatenating previous CA expansion,0.5000444488065326,0.0252004832254541,0.687684375,0.0239187799577647,2023-10-11 12:24:40.515944
89,128,512,3,4,90,5,1000,concatenating previous CA expansion,0.5000581736809045,0.022133861363797,0.6873828125,0.0203726573135569,2023-10-11 12:25:16.743984
90,128,512,3,4,91,5,1000,concatenating previous CA expansion,0.5194608903894472,0.0291342244000092,0.6954984375,0.0278601445841546,2023-10-11 12:25:53.129559
91,128,512,3,4,92,5,1000,concatenating previous CA expansion,0.5074624097047739,0.0375067067976446,0.6912234375,0.0362081793717658,2023-10-11 12:26:29.532852
92,128,512,3,4,93,5,1000,concatenating previous CA expansion,0.520582896906407,0.042330860248373,0.696106640625,0.041253536023795,2023-10-11 12:27:05.962244
93,128,512,3,4,94,5,1000,concatenating previous CA expansion,0.5183156485552763,0.0291236859121672,0.6951890625,0.0276500979209669,2023-10-11 12:27:42.184350
94,128,512,3,4,95,5,1000,concatenating previous CA expansion,0.6113794931689699,0.0395270807028943,0.737177734375,0.0369882983184398,2023-10-11 12:28:18.701023
95,128,512,3,4,96,5,1000,concatenating previous CA expansion,0.7489883381752512,0.0276767424201287,0.820464453125,0.0263915792242331,2023-10-11 12:28:56.563079
96,128,512,3,4,97,5,1000,concatenating previous CA expansion,0.5462390075376884,0.0235159517589115,0.70653828125,0.0226509872524519,2023-10-11 12:29:33.395427
97,128,512,3,4,98,5,1000,concatenating previous CA expansion,0.5424658684045226,0.0324708603973046,0.70513125,0.030802586949686,2023-10-11 12:30:10.347719
98,128,512,3,4,99,5,1000,concatenating previous CA expansion,0.5000230998743719,0.0318360652003073,0.6874359375,0.0308515444574523,2023-10-11 12:30:47.057958
99,128,512,3,4,100,5,1000,concatenating previous CA expansion,0.646758000942211,0.023364931880124,0.756753125,0.022136636571777,2023-10-11 12:31:23.968894
100,128,512,3,4,101,5,1000,concatenating previous CA expansion,0.5000188402952261,0.0252661064661201,0.68762890625,0.0240559393323787,2023-10-11 12:32:00.704807
101,128,512,3,4,102,5,1000,concatenating previous CA expansion,0.5000135953203517,0.022055628455842,0.687428125,0.020370283436065,2023-10-11 12:32:37.814265
102,128,512,3,4,103,5,1000,concatenating previous CA expansion,0.5217930943781407,0.0267934720159307,0.696609375,0.025425269633526,2023-10-11 12:33:19.138739
103,128,512,3,4,104,5,1000,concatenating previous CA expansion,0.643608040201005,0.030305696963467,0.75589921875,0.0276297807545752,2023-10-11 12:33:56.707530
104,128,512,3,4,105,5,1000,concatenating previous CA expansion,0.4999842434830402,0.0221070493701493,0.687540234375,0.0205632598309876,2023-10-11 12:34:34.592756
105,128,512,3,4,106,5,1000,concatenating previous CA expansion,0.5000330244974874,0.027116832970377,0.68769765625,0.0256918845458746,2023-10-11 12:35:12.533094
106,128,512,3,4,107,5,1000,concatenating previous CA expansion,0.5454797012405779,0.0236793271250985,0.706513671875,0.0221795876592449,2023-10-11 12:35:50.620365
107,128,512,3,4,108,5,1000,concatenating previous CA expansion,0.5609279012248743,0.0293619485090264,0.71359375,0.0285844631435177,2023-10-11 12:36:28.727086
108,128,512,3,4,109,5,1000,concatenating previous CA expansion,0.5185298386463568,0.0273580589568802,0.694973046875,0.0262798897415472,2023-10-11 12:37:07.061197
